Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,On-Demand Linux pricing,On-Demand Windows pricing
t1.micro,t1,micro,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",true,false,xen,1,"i386, x86_64",1,-,1,-,,0.612,-,-,-,-,unsupported,unsupported,Very Low,unsupported,2,2,-,-,"partition, spread",-,-,true,ebs,-,-,-,false,0.02 USD per Hour,0.02 USD per Hour
t2.nano,t2,nano,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,1,"i386, x86_64",1,-,1,-,2.4,0.5,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,2,2,2,true,"partition, spread",-,-,true,ebs,-,true,true,true,0.0058 USD per Hour,0.0081 USD per Hour
t2.micro,t2,micro,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",true,false,xen,1,"i386, x86_64",1,-,1,-,2.5,1,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,2,2,2,true,"partition, spread",-,-,true,ebs,-,true,true,true,0.0116 USD per Hour,0.0162 USD per Hour
t2.small,t2,small,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,1,"i386, x86_64",1,-,1,-,2.5,2,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,4,4,true,"partition, spread",-,-,true,ebs,-,true,true,true,0.023 USD per Hour,0.032 USD per Hour
t2.medium,t2,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,2,"i386, x86_64",2,-,1,-,2.3,4,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,6,6,true,"partition, spread",-,-,true,ebs,-,true,true,true,0.0464 USD per Hour,0.0644 USD per Hour
t2.large,t2,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,2,x86_64,2,-,1,-,2.3,8,-,-,-,-,supported,unsupported,Low to Moderate,unsupported,3,12,12,true,"partition, spread",-,-,true,ebs,-,true,true,true,0.0928 USD per Hour,0.1208 USD per Hour
t2.xlarge,t2,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,4,x86_64,4,-,1,-,2.3,16,-,-,-,-,supported,unsupported,Moderate,unsupported,3,15,15,true,"partition, spread",-,-,true,ebs,-,true,true,true,0.1856 USD per Hour,0.2266 USD per Hour
t2.2xlarge,t2,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,8,x86_64,8,-,1,-,2.3,32,-,-,-,-,supported,unsupported,Moderate,unsupported,3,15,15,true,"partition, spread",-,-,true,ebs,-,true,true,true,0.3712 USD per Hour,0.4332 USD per Hour
t3.nano,t3,nano,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,0.5,-,-,-,-,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",-,-,true,ebs,true,true,true,true,0.0052 USD per Hour,0.0098 USD per Hour
t3.micro,t3,micro,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,1,-,-,-,-,supported,default,Up to 5 Gigabit,required,2,2,2,true,"partition, spread",-,-,true,ebs,true,true,true,true,0.0104 USD per Hour,0.0196 USD per Hour
t3.small,t3,small,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",2.5,2,-,-,-,-,supported,default,Up to 5 Gigabit,required,3,4,4,true,"partition, spread",-,-,true,ebs,true,true,true,true,0.0208 USD per Hour,0.0392 USD per Hour
